"# Export CSV from Simcenter Amesim 2022.1 (encoding=""UTF - 8 - BOM"")",,,,,,,
"Time filename=E214E01752T_R1_211110_081827.data  ""1""","twistlock filename=E214E01752T_R1_211110_081827.data  ""1""","loadedunloaded filename=E214E01752T_R1_211110_081827.data  ""1""","tel.liftpressure filename=E214E01752T_R1_211110_081827.data  ""1""","liftheight filename=E214E01752T_R1_211110_081827.data  ""1""","Ps_liftpressure[barl] filename=E214E01752T_R1_211110_081827.data  ""1""","vehiclespeed filename=E214E01752T_R1_211110_081827.data  ""1""","Loadweight filtered filename=E214E01752T_R1_211110_081827.data  ""1"""
s,null,null,null,null,null,null,kg
1.88E+01,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.40E+01,0.00E+00,5.48E-111
1.89E+01,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.40E+01,0.00E+00,5.84E-111
1.90E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,6.22E-111
1.91E+01,1.00E+00,0.00E+00,4.90E+01,9.52E+02,8.40E+01,0.00E+00,6.62E-111
1.92E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,7.05E-111
1.93E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,7.51E-111
1.94E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,7.99E-111
1.95E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,8.51E-111
1.96E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,9.07E-111
1.97E+01,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.39E+01,0.00E+00,9.65E-111
1.98E+01,1.00E+00,0.00E+00,5.40E+01,9.52E+02,8.39E+01,0.00E+00,1.03E-110
1.99E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.09E-110
2.00E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,1.17E-110
2.01E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,1.24E-110
2.02E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,1.32E-110
2.03E+01,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.40E+01,0.00E+00,1.41E-110
2.04E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.50E-110
2.05E+01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,1.60E-110
2.06E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.70E-110
2.07E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.81E-110
2.08E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.93E-110
2.09E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.05E-110
